Title,Price_Raw,Price_PKR,Size_Raw,Size_Marla,Listing_URL,City,Property_Type
5 Marla Corner House For Sale In Citi Housinng Jhelum Near Bu Dancing Fountain,2.0 Crore,20000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_corner_house_for_sale_in_citi_housinng_jhelum_near_bu_dancing_fountain-54487508-8433-1.html,Jhelum,House
5 Marla Furnished House For Sale B Block Citi Housing Jhelum In An Affordable Price,2.1 Crore,21000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_furnished_house_for_sale_b_block_citi_housing_jhelum_in_an_affordable_price-54486991-8433-1.html,Jhelum,House
"5 Marla Brand New Modern Double Heighted House Available For Sale "" Citi Housing Jhelum .",1.65 Crore,16500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_brand_new_modern_double_heighted_house_available_for_sale_citi_housing_jhelum-54501417-8433-1.html,Jhelum,House
Premium Owner-Built 5 Marla Corner House | Fully Furnished | Citi Housing Jhelum,1.59 Crore,15900000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_premium_owner-built_5_marla_corner_house_fully_furnished_citi_housing_jhelum-54470574-8433-1.html,Jhelum,House
Installment Base Double Unit House Is Available For Sale,3.7 Crore,37000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_installment_base_double_unit_house_is_available_for_sale-54520037-8433-1.html,Jhelum,House
3 Marla Beautiful House (Kareem Pura) Jhelum On Easy Installments For Sale,85.0 Lakh,8500000.0,3.0 Marla,3.0,https://www.zameen.com/Property/jhelum_chakwal_-_jhelum_road_3_marla_beautiful_house_kareem_pura_jhelum_on_easy_installments_for_sale-54272676-13351-1.html,Jhelum,House
5 Marla Elegant Most Popular Most Beautiful House Available Near the Main Entrance Citi Housing Jhelum,2.1 Crore,21000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_elegant_most_popular_most_beautiful_house_available_near_the_main_entrance_citi_housing_jhelum-54266527-8433-1.html,Jhelum,House
"1 Kanal Luxurious House For Sale In K Block, Citi Housing Jhelum",4.5 Crore,45000000.0,1.0 Kanal,20.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_1_kanal_luxurious_house_for_sale_in_k_block_citi_housing_jhelum-52548469-8433-1.html,Jhelum,House
A History Of Citi Housing 7 Marla 6 Bedrooms Home Available Brand New House At Registry'S Area,2.65 Crore,26500000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_a_history_of_citi_housing_7_marla_6_bedrooms_home_available_brand_new_house_at_registry_s_area-54266515-8433-1.html,Jhelum,House
5 Marla Fully Furnished House For Sale With 6KV Solar Penal Installed,2.1 Crore,21000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_fully_furnished_house_for_sale_with_6kv_solar_penal_installed-54487877-8433-1.html,Jhelum,House
House Is Available For Sale,2.6 Crore,26000000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_house_is_available_for_sale-54520032-8433-1.html,Jhelum,House
Modern 2 Bedroom Apartment For Sale In Citi Housing Jhelum,57.5 Lakh,5750000.0,,,https://www.zameen.com/Property/jhelum_citi_housing_scheme_modern_2_bedroom_apartment_for_sale_in_citi_housing_jhelum-52788698-8433-1.html,Jhelum,Flat
Furnished Studio Apartment for Sale Citi Housing Jhelum,28.0 Lakh,2800000.0,,,https://www.zameen.com/Property/jhelum_citi_housing_scheme_furnished_studio_apartment_for_sale_citi_housing_jhelum-52788762-8433-1.html,Jhelum,Flat
2 Bed Furnished Flat Transferable For Sale,48.0 Lakh,4800000.0,,,https://www.zameen.com/Property/jhelum_citi_housing_scheme_2_bed_furnished_flat_transferable_for_sale-54209591-8433-1.html,Jhelum,Flat
Furnished Studio Apartment for Sale with Transfer Letter in Citi Housing Jhelum Prime Location & Ready to Move,35.0 Lakh,3500000.0,,,https://www.zameen.com/Property/jhelum_citi_housing_scheme_furnished_studio_apartment_for_sale_with_transfer_letter_in_citi_housing_jhelum_prime_location_ready_to_move-52085259-8433-1.html,Jhelum,Flat
Studio Apartment For Sale In Citi Housing Jhelum Ideal For Investment Or Living,35.0 Lakh,3500000.0,,,https://www.zameen.com/Property/jhelum_citi_housing_scheme_studio_apartment_for_sale_in_citi_housing_jhelum_ideal_for_investment_or_living-52661102-8433-1.html,Jhelum,Flat
Modern 2-Bed Flat With Elegant Interior | 600 Sqft Flat For Sale,60.0 Lakh,6000000.0,,,https://www.zameen.com/Property/jhelum_citi_housing_scheme_modern_2-bed_flat_with_elegant_interior_600_sqft_flat_for_sale-53418746-8433-1.html,Jhelum,Flat
Corner 10 Marla 60 Feet Road Main Sialkot Road,3.5 Crore,35000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/wazirabad_sialkot_road_corner_10_marla_60_feet_road_main_sialkot_road-54399782-6440-1.html,Wazirabad,House
