Title,Price_Raw,Price_PKR,Size_Raw,Size_Marla,Listing_URL,City,Property_Type,Bedrooms,Bathrooms,Location,Price_per_Marla,Area,Area_Grouped
Idyllic Prime Location House Available In Royal Palm City For sale,3.95 Crore,39500000.0,10.0 Marla,10.0,https://www.zameen.com/Property/eminabad_more_royal_palm_city_idyllic_prime_location_house_available_in_royal_palm_city_for_sale-54281867-11297-1.html,Gujranwala,House,5.0,5.0,"Eminabad More, Gujranwala, Punjab",3950000.0,Eminabad More,Eminabad More
Affordable Prime Location House Of 5 Marla Is Available For sale,2.1 Crore,21000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/eminabad_more_royal_palm_city_affordable_prime_location_house_of_5_marla_is_available_for_sale-54281882-11297-1.html,Gujranwala,House,4.0,4.0,"Eminabad More, Gujranwala, Punjab",4200000.0,Eminabad More,Eminabad More
Prime Location In Citi Housing Society 10 Marla House For Sale,4.0 Crore,40000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_prime_location_in_citi_housing_society_10_marla_house_for_sale-54606632-3083-1.html,Gujranwala,House,5.0,5.0,"Citi Housing Society, Gujranwala, Punjab",4000000.0,Citi Housing Society,Citi Housing Society
Ideal Prime Location 10 Marla House Has Landed On Market In Citi Housing Society,4.0 Crore,40000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_ideal_prime_location_10_marla_house_has_landed_on_market_in_citi_housing_society-54606633-3083-1.html,Gujranwala,House,5.0,5.0,"Citi Housing Society, Gujranwala, Punjab",4000000.0,Citi Housing Society,Citi Housing Society
Prime Location 5 Marla House For Sale In Rs. 26000000 Only,2.6 Crore,26000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_prime_location_5_marla_house_for_sale_in_rs_26000000_only-54606634-3083-1.html,Gujranwala,House,4.0,4.0,"Citi Housing Society, Gujranwala, Punjab",5200000.0,Citi Housing Society,Citi Housing Society
Prime Location House Of 5 Marla In Citi Housing Society For Sale,2.35 Crore,23500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_prime_location_house_of_5_marla_in_citi_housing_society_for_sale-54606635-3083-1.html,Gujranwala,House,4.0,4.0,"Citi Housing Society, Gujranwala, Punjab",4700000.0,Citi Housing Society,Citi Housing Society
Good Location Affordable House For Sale In Citi Housing Society,2.6 Crore,26000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_good_location_affordable_house_for_sale_in_citi_housing_society-54573862-3083-1.html,Gujranwala,House,4.0,4.0,"Citi Housing Society, Gujranwala, Punjab",5200000.0,Citi Housing Society,Citi Housing Society
Affordable 10 Marla Grey Structure House Available for Sale,2.95 Crore,29500000.0,10.0 Marla,10.0,https://www.zameen.com/Property/eminabad_more_royal_palm_city_affordable_10_marla_grey_structure_house_available_for_sale-54208917-11297-1.html,Gujranwala,House,5.0,5.0,"Eminabad More, Gujranwala, Punjab",2950000.0,Eminabad More,Eminabad More
5 MARLA BRAND NEW HOUSE AVAILABLE FOR SALE (AT REASONABLE PRICE) IN CITI HOUSING GUJRANWALA,2.65 Crore,26500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/citi_housing_society_citi_housing_-_phase_1_5_marla_brand_new_house_available_for_sale_at_reasonable_price_in_citi_housing_gujranwala-54416169-3084-1.html,Gujranwala,House,4.0,5.0,"Citi Housing Society, Gujranwala, Punjab",5300000.0,Citi Housing Society,Citi Housing Society
Affordable 05 Marla Spanish Style House Available For Sale,1.74 Crore,17400000.0,5.0 Marla,5.0,https://www.zameen.com/Property/eminabad_more_royal_palm_city_affordable_05_marla_spanish_style_house_available_for_sale-54208911-11297-1.html,Gujranwala,House,4.0,4.0,"Eminabad More, Gujranwala, Punjab",3480000.0,Eminabad More,Eminabad More
